Time Stamp,Time Zone,Name,PTID,Integrated Load
1/15/2004 0:00,EST,CAPITL,61757,1316
1/15/2004 0:00,EST,CENTRL,61754,2075
1/15/2004 0:00,EST,DUNWOD,61760,669
1/15/2004 0:00,EST,GENESE,61753,1114
1/15/2004 0:00,EST,HUD VL,61758,1207
1/15/2004 0:00,EST,MHK VL,61756,908
1/15/2004 0:00,EST,MILLWD,61759,309
1/15/2004 0:00,EST,N.Y.C._LONGIL,,7684
1/15/2004 0:00,EST,NORTH,61755,767
1/15/2004 0:00,EST,WEST,61752,1828
1/15/2004 1:00,EST,CAPITL,61757,1287
1/15/2004 1:00,EST,CENTRL,61754,2031
1/15/2004 1:00,EST,DUNWOD,61760,637
1/15/2004 1:00,EST,GENESE,61753,1067
1/15/2004 1:00,EST,HUD VL,61758,1175
1/15/2004 1:00,EST,MHK VL,61756,878
1/15/2004 1:00,EST,MILLWD,61759,294
1/15/2004 1:00,EST,N.Y.C._LONGIL,,7279
1/15/2004 1:00,EST,NORTH,61755,758
1/15/2004 1:00,EST,WEST,61752,1777
1/15/2004 2:00,EST,CAPITL,61757,1275
1/15/2004 2:00,EST,CENTRL,61754,2012
1/15/2004 2:00,EST,DUNWOD,61760,625
1/15/2004 2:00,EST,GENESE,61753,1056
1/15/2004 2:00,EST,HUD VL,61758,1156
1/15/2004 2:00,EST,MHK VL,61756,867
1/15/2004 2:00,EST,MILLWD,61759,291
1/15/2004 2:00,EST,N.Y.C._LONGIL,,7076
1/15/2004 2:00,EST,NORTH,61755,757
1/15/2004 2:00,EST,WEST,61752,1740
1/15/2004 3:00,EST,CAPITL,61757,1274
1/15/2004 3:00,EST,CENTRL,61754,2006
1/15/2004 3:00,EST,DUNWOD,61760,620
1/15/2004 3:00,EST,GENESE,61753,1061
1/15/2004 3:00,EST,HUD VL,61758,1159
1/15/2004 3:00,EST,MHK VL,61756,865
1/15/2004 3:00,EST,MILLWD,61759,293
1/15/2004 3:00,EST,N.Y.C._LONGIL,,7014
1/15/2004 3:00,EST,NORTH,61755,751
1/15/2004 3:00,EST,WEST,61752,1733
1/15/2004 4:00,EST,CAPITL,61757,1293
1/15/2004 4:00,EST,CENTRL,61754,2039
1/15/2004 4:00,EST,DUNWOD,61760,629
1/15/2004 4:00,EST,GENESE,61753,1077
1/15/2004 4:00,EST,HUD VL,61758,1179
1/15/2004 4:00,EST,MHK VL,61756,878
1/15/2004 4:00,EST,MILLWD,61759,298
1/15/2004 4:00,EST,N.Y.C._LONGIL,,7084
1/15/2004 4:00,EST,NORTH,61755,761
1/15/2004 4:00,EST,WEST,61752,1752
1/15/2004 5:00,EST,CAPITL,61757,1388
1/15/2004 5:00,EST,CENTRL,61754,2149
1/15/2004 5:00,EST,DUNWOD,61760,660
1/15/2004 5:00,EST,GENESE,61753,1148
1/15/2004 5:00,EST,HUD VL,61758,1221
1/15/2004 5:00,EST,MHK VL,61756,939
1/15/2004 5:00,EST,MILLWD,61759,323
1/15/2004 5:00,EST,N.Y.C._LONGIL,,7417
1/15/2004 5:00,EST,NORTH,61755,780
1/15/2004 5:00,EST,WEST,61752,1844
1/15/2004 6:00,EST,CAPITL,61757,1594
1/15/2004 6:00,EST,CENTRL,61754,2341
1/15/2004 6:00,EST,DUNWOD,61760,723
