Date,Hour,PJM-E,PJM-W,NI,DAY,AEP
12/31/04,100,27160,5285,9810,1596,13478
12/31/04,200,25791,5085,9001,1517,12865
12/31/04,300,25052,4944,8509,1486,12577
12/31/04,400,24797,4916,8278,1469,12517
12/31/04,500,25026,4960,8089,1472,12670
12/31/04,600,25977,5109,8208,1518,13038
12/31/04,700,27392,5337,8431,1598,13692
12/31/04,800,28786,5575,8891,1691,14297
12/31/04,900,29994,5681,9098,1748,14719
12/31/04,1000,31238,5865,9237,1825,14941
12/31/04,1100,31606,5955,9508,1880,15184
12/31/04,1200,31225,5861,9583,1891,15009
12/31/04,1300,30448,5746,9679,1874,14808
12/31/04,1400,29665,5670,9614,1859,14522
12/31/04,1500,28936,5598,9475,1829,14349
12/31/04,1600,28918,5573,9427,1807,14107
12/31/04,1700,30679,5753,9431,1838,14410
12/31/04,1800,34276,6161,10319,1945,15174
12/31/04,1900,34187,6104,11518,1968,15261
12/31/04,2000,33004,5862,11409,1867,14774
12/31/04,2100,31570,5656,11172,1785,14363
12/31/04,2200,30187,5408,10877,1711,14045
12/31/04,2300,28804,5219,10506,1639,13478
12/31/04,2400,27384,4720,10115,1560,12892
12/30/04,100,27675,5448,10385,1713,14097
12/30/04,200,26564,5212,9697,1647,13667
12/30/04,300,26102,5134,9279,1611,13451
12/30/04,400,26062,5250,9073,1608,13379
12/30/04,500,26726,5381,8986,1630,13506
12/30/04,600,28400,5558,9165,1704,14121
12/30/04,700,30994,5952,9726,1839,15066
12/30/04,800,33020,6287,10660,1986,15771
12/30/04,900,34141,6426,11271,2039,16047
12/30/04,1000,34747,6585,11533,2079,16245
12/30/04,1100,34699,6535,11768,2113,16377
12/30/04,1200,34463,6513,11999,2095,16138
12/30/04,1300,34011,6384,11972,2052,15886
12/30/04,1400,33467,6351,11873,2014,15503
12/30/04,1500,33025,6296,11855,1970,15206
12/30/04,1600,32948,6260,11653,1934,15049
12/30/04,1700,34540,6412,11697,1947,15161
12/30/04,1800,37428,6783,12314,2095,16085
12/30/04,1900,37352,6828,12801,2167,16508
12/30/04,2000,36664,6755,12655,2110,16306
12/30/04,2100,35768,6565,12305,2062,16223
12/30/04,2200,34233,6378,11993,1980,15931
12/30/04,2300,31983,6049,11545,1861,15207
12/30/04,2400,29407,5637,10752,1722,14316
12/29/04,100,30958,5929,10600,1803,15223
12/29/04,200,29686,5697,9893,1731,14731
12/29/04,300,28940,5601,9497,1697,14503
12/29/04,400,28744,5598,9304,1682,14432
12/29/04,500,29090,5643,9253,1707,14531
12/29/04,600,30696,5874,9494,1785,15087
12/29/04,700,33102,6202,10116,1934,16018
12/29/04,800,35006,6463,11093,2067,16968
12/29/04,900,36089,6624,11658,2101,17149
12/29/04,1000,36767,6723,11828,2135,17261
12/29/04,1100,36849,6721,11874,2135,17194
12/29/04,1200,36310,6614,11970,2148,17011
12/29/04,1300,35531,6507,11905,2107,16749
12/29/04,1400,34943,6448,11748,2063,16546
12/29/04,1500,34445,6303,11680,2015,16403
12/29/04,1600,34309,6259,11570,1988,16161
